startDateTime,endDateTime,SHFMean,SHFMinimum,SHFMaximum,SHFVariance,SHFNumPts,SHFExpUncert,SHFStdErMean,SHFInSituCorFactor,finalQF
"2021-08-01T00:00:00Z","2021-08-01T00:01:00Z",,,,,,,,,1
"2021-08-01T00:01:00Z","2021-08-01T00:02:00Z",,,,,,,,,1
"2021-08-01T00:02:00Z","2021-08-01T00:03:00Z",,,,,,,,,1
"2021-08-01T00:03:00Z","2021-08-01T00:04:00Z",,,,,,,,,1
"2021-08-01T00:04:00Z","2021-08-01T00:05:00Z",,,,,,,,,1
"2021-08-01T00:05:00Z","2021-08-01T00:06:00Z",,,,,,,,,1
"2021-08-01T00:06:00Z","2021-08-01T00:07:00Z",,,,,,,,,1
"2021-08-01T00:07:00Z","2021-08-01T00:08:00Z",,,,,,,,,1
"2021-08-01T00:08:00Z","2021-08-01T00:09:00Z",,,,,,,,,1
"2021-08-01T00:09:00Z","2021-08-01T00:10:00Z",,,,,,,,,1
"2021-08-01T00:10:00Z","2021-08-01T00:11:00Z",,,,,,,,,1
"2021-08-01T00:11:00Z","2021-08-01T00:12:00Z",,,,,,,,,1
"2021-08-01T00:12:00Z","2021-08-01T00:13:00Z",,,,,,,,,1
"2021-08-01T00:13:00Z","2021-08-01T00:14:00Z",,,,,,,,,1
"2021-08-01T00:14:00Z","2021-08-01T00:15:00Z",,,,,,,,,1
"2021-08-01T00:15:00Z","2021-08-01T00:16:00Z",,,,,,,,,1
"2021-08-01T00:16:00Z","2021-08-01T00:17:00Z",,,,,,,,,1
"2021-08-01T00:17:00Z","2021-08-01T00:18:00Z",,,,,,,,,1
"2021-08-01T00:18:00Z","2021-08-01T00:19:00Z",,,,,,,,,1
"2021-08-01T00:19:00Z","2021-08-01T00:20:00Z",,,,,,,,,1
"2021-08-01T00:20:00Z","2021-08-01T00:21:00Z",,,,,,,,,1
"2021-08-01T00:21:00Z","2021-08-01T00:22:00Z",,,,,,,,,1
"2021-08-01T00:22:00Z","2021-08-01T00:23:00Z",,,,,,,,,1
"2021-08-01T00:23:00Z","2021-08-01T00:24:00Z",,,,,,,,,1
"2021-08-01T00:24:00Z","2021-08-01T00:25:00Z",,,,,,,,,1
"2021-08-01T00:25:00Z","2021-08-01T00:26:00Z",,,,,,,,,1
"2021-08-01T00:26:00Z","2021-08-01T00:27:00Z",,,,,,,,,1
"2021-08-01T00:27:00Z","2021-08-01T00:28:00Z",,,,,,,,,1
"2021-08-01T00:28:00Z","2021-08-01T00:29:00Z",,,,,,,,,1
"2021-08-01T00:29:00Z","2021-08-01T00:30:00Z",,,,,,,,,1
"2021-08-01T00:30:00Z","2021-08-01T00:31:00Z",,,,,,,,,1
"2021-08-01T00:31:00Z","2021-08-01T00:32:00Z",,,,,,,,,1
"2021-08-01T00:32:00Z","2021-08-01T00:33:00Z",,,,,,,,,1
"2021-08-01T00:33:00Z","2021-08-01T00:34:00Z",,,,,,,,,1
"2021-08-01T00:34:00Z","2021-08-01T00:35:00Z",,,,,,,,,1
"2021-08-01T00:35:00Z","2021-08-01T00:36:00Z",,,,,,,,,1
"2021-08-01T00:36:00Z","2021-08-01T00:37:00Z",,,,,,,,,1
"2021-08-01T00:37:00Z","2021-08-01T00:38:00Z",,,,,,,,,1
"2021-08-01T00:38:00Z","2021-08-01T00:39:00Z",,,,,,,,,1
"2021-08-01T00:39:00Z","2021-08-01T00:40:00Z",,,,,,,,,1
"2021-08-01T00:40:00Z","2021-08-01T00:41:00Z",,,,,,,,,1
"2021-08-01T00:41:00Z","2021-08-01T00:42:00Z",,,,,,,,,1
"2021-08-01T00:42:00Z","2021-08-01T00:43:00Z",,,,,,,,,1
"2021-08-01T00:43:00Z","2021-08-01T00:44:00Z",,,,,,,,,1
"2021-08-01T00:44:00Z","2021-08-01T00:45:00Z",,,,,,,,,1
"2021-08-01T00:45:00Z","2021-08-01T00:46:00Z",,,,,,,,,1
"2021-08-01T00:46:00Z","2021-08-01T00:47:00Z",,,,,,,,,1
"2021-08-01T00:47:00Z","2021-08-01T00:48:00Z",,,,,,,,,1
"2021-08-01T00:48:00Z","2021-08-01T00:49:00Z",,,,,,,,,1
"2021-08-01T00:49:00Z","2021-08-01T00:50:00Z",,,,,,,,,1
"2021-08-01T00:50:00Z","2021-08-01T00:51:00Z",,,,,,,,,1
"2021-08-01T00:51:00Z","2021-08-01T00:52:00Z",,,,,,,,,1
"2021-08-01T00:52:00Z","2021-08-01T00:53:00Z",,,,,,,,,1
"2021-08-01T00:53:00Z","2021-08-01T00:54:00Z",,,,,,,,,1
"2021-08-01T00:54:00Z","2021-08-01T00:55:00Z",,,,,,,,,1
"2021-08-01T00:55:00Z","2021-08-01T00:56:00Z",,,,,,,,,1
"2021-08-01T00:56:00Z","2021-08-01T00:57:00Z",,,,,,,,,1
"2021-08-01T00:57:00Z","2021-08-01T00:58:00Z",,,,,,,,,1
"2021-08-01T00:58:00Z","2021-08-01T00:59:00Z",,,,,,,,,1
"2021-08-01T00:59:00Z","2021-08-01T01:00:00Z",,,,,,,,,1
"2021-08-01T01:00:00Z","2021-08-01T01:01:00Z",,,,,,,,,1
"2021-08-01T01:01:00Z","2021-08-01T01:02:00Z",,,,,,,,,1
"2021-08-01T01:02:00Z","2021-08-01T01:03:00Z",,,,,,,,,1
"2021-08-01T01:03:00Z","2021-08-01T01:04:00Z",,,,,,,,,1
"2021-08-01T01:04:00Z","2021-08-01T01:05:00Z",,,,,,,,,1
"2021-08-01T01:05:00Z","2021-08-01T01:06:00Z",,,,,,,,,1
"2021-08-01T01:06:00Z","2021-08-01T01:07:00Z",,,,,,,,,1
"2021-08-01T01:07:00Z","2021-08-01T01:08:00Z",,,,,,,,,1
"2021-08-01T01:08:00Z","2021-08-01T01:09:00Z",,,,,,,,,1
"2021-08-01T01:09:00Z","2021-08-01T01:10:00Z",,,,,,,,,1
"2021-08-01T01:10:00Z","2021-08-01T01:11:00Z",,,,,,,,,1
"2021-08-01T01:11:00Z","2021-08-01T01:12:00Z",,,,,,,,,1
"2021-08-01T01:12:00Z","2021-08-01T01:13:00Z",,,,,,,,,1
"2021-08-01T01:13:00Z","2021-08-01T01:14:00Z",,,,,,,,,1
"2021-08-01T01:14:00Z","2021-08-01T01:15:00Z",,,,,,,,,1
"2021-08-01T01:15:00Z","2021-08-01T01:16:00Z",,,,,,,,,1
"2021-08-01T01:16:00Z","2021-08-01T01:17:00Z",,,,,,,,,1
"2021-08-01T01:17:00Z","2021-08-01T01:18:00Z",,,,,,,,,1
"2021-08-01T01:18:00Z","2021-08-01T01:19:00Z",,,,,,,,,1
"2021-08-01T01:19:00Z","2021-08-01T01:20:00Z",,,,,,,,,1
"2021-08-01T01:20:00Z","2021-08-01T01:21:00Z",,,,,,,,,1
"2021-08-01T01:21:00Z","2021-08-01T01:22:00Z",,,,,,,,,1
"2021-08-01T01:22:00Z","2021-08-01T01:23:00Z",,,,,,,,,1
"2021-08-01T01:23:00Z","2021-08-01T01:24:00Z",,,,,,,,,1
"2021-08-01T01:24:00Z","2021-08-01T01:25:00Z",,,,,,,,,1
"2021-08-01T01:25:00Z","2021-08-01T01:26:00Z",,,,,,,,,1
"2021-08-01T01:26:00Z","2021-08-01T01:27:00Z",,,,,,,,,1
"2021-08-01T01:27:00Z","2021-08-01T01:28:00Z",,,,,,,,,1
"2021-08-01T01:28:00Z","2021-08-01T01:29:00Z",,,,,,,,,1
"2021-08-01T01:29:00Z","2021-08-01T01:30:00Z",,,,,,,,,1
"2021-08-01T01:30:00Z","2021-08-01T01:31:00Z",,,,,,,,,1
"2021-08-01T01:31:00Z","2021-08-01T01:32:00Z",,,,,,,,,1
"2021-08-01T01:32:00Z","2021-08-01T01:33:00Z",,,,,,,,,1
"2021-08-01T01:33:00Z","2021-08-01T01:34:00Z",,,,,,,,,1
"2021-08-01T01:34:00Z","2021-08-01T01:35:00Z",,,,,,,,,1
"2021-08-01T01:35:00Z","2021-08-01T01:36:00Z",,,,,,,,,1
"2021-08-01T01:36:00Z","2021-08-01T01:37:00Z",,,,,,,,,1
"2021-08-01T01:37:00Z","2021-08-01T01:38:00Z",,,,,,,,,1
"2021-08-01T01:38:00Z","2021-08-01T01:39:00Z",,,,,,,,,1
"2021-08-01T01:39:00Z","2021-08-01T01:40:00Z",,,,,,,,,1
"2021-08-01T01:40:00Z","2021-08-01T01:41:00Z",,,,,,,,,1
"2021-08-01T01:41:00Z","2021-08-01T01:42:00Z",,,,,,,,,1
"2021-08-01T01:42:00Z","2021-08-01T01:43:00Z",,,,,,,,,1
"2021-08-01T01:43:00Z","2021-08-01T01:44:00Z",,,,,,,,,1
"2021-08-01T01:44:00Z","2021-08-01T01:45:00Z",,,,,,,,,1
"2021-08-01T01:45:00Z","2021-08-01T01:46:00Z",,,,,,,,,1
"2021-08-01T01:46:00Z","2021-08-01T01:47:00Z",,,,,,,,,1
"2021-08-01T01:47:00Z","2021-08-01T01:48:00Z",,,,,,,,,1
"2021-08-01T01:48:00Z","2021-08-01T01:49:00Z",,,,,,,,,1
"2021-08-01T01:49:00Z","2021-08-01T01:50:00Z",,,,,,,,,1
"2021-08-01T01:50:00Z","2021-08-01T01:51:00Z",,,,,,,,,1
"2021-08-01T01:51:00Z","2021-08-01T01:52:00Z",,,,,,,,,1
"2021-08-01T01:52:00Z","2021-08-01T01:53:00Z",,,,,,,,,1
"2021-08-01T01:53:00Z","2021-08-01T01:54:00Z",,,,,,,,,1
"2021-08-01T01:54:00Z","2021-08-01T01:55:00Z",,,,,,,,,1
"2021-08-01T01:55:00Z","2021-08-01T01:56:00Z",,,,,,,,,1
"2021-08-01T01:56:00Z","2021-08-01T01:57:00Z",,,,,,,,,1
