startDateTime,endDateTime,tempSingleMean,tempSingleMinimum,tempSingleMaximum,tempSingleVariance,tempSingleNumPts,tempSingleExpUncert,tempSingleStdErMean,finalQF
"2021-04-01T00:00:00Z","2021-04-01T00:01:00Z",1.3917,1.3559,1.4550,0.0012,60.0000,0.1376,0.0044,0
"2021-04-01T00:01:00Z","2021-04-01T00:02:00Z",1.4950,1.4645,1.5284,0.0003,60.0000,0.1374,0.0023,0
"2021-04-01T00:02:00Z","2021-04-01T00:03:00Z",1.4331,1.4092,1.4721,0.0002,60.0000,0.1374,0.0020,0
"2021-04-01T00:03:00Z","2021-04-01T00:04:00Z",1.4092,1.3686,1.4510,0.0008,60.0000,0.1375,0.0038,0
"2021-04-01T00:04:00Z","2021-04-01T00:05:00Z",1.3809,1.3380,1.4253,0.0008,60.0000,0.1375,0.0037,0
"2021-04-01T00:05:00Z","2021-04-01T00:06:00Z",1.3788,1.3614,1.4001,0.0001,60.0000,0.1373,0.0013,0
"2021-04-01T00:06:00Z","2021-04-01T00:07:00Z",1.3313,1.2667,1.3702,0.0007,60.0000,0.1374,0.0034,0
"2021-04-01T00:07:00Z","2021-04-01T00:08:00Z",1.1867,1.1406,1.2629,0.0015,60.0000,0.1376,0.0050,0
"2021-04-01T00:08:00Z","2021-04-01T00:09:00Z",1.1414,1.1346,1.1505,0.0000,60.0000,0.1372,0.0005,0
"2021-04-01T00:09:00Z","2021-04-01T00:10:00Z",1.1185,1.0980,1.1370,0.0001,60.0000,0.1372,0.0013,0
"2021-04-01T00:10:00Z","2021-04-01T00:11:00Z",1.1108,1.0490,1.1338,0.0004,60.0000,0.1372,0.0026,0
"2021-04-01T00:11:00Z","2021-04-01T00:12:00Z",0.9720,0.8972,1.0448,0.0024,60.0000,0.1377,0.0063,0
"2021-04-01T00:12:00Z","2021-04-01T00:13:00Z",0.8868,0.8660,0.9046,0.0001,60.0000,0.1371,0.0014,0
"2021-04-01T00:13:00Z","2021-04-01T00:14:00Z",0.9331,0.9054,0.9997,0.0007,60.0000,0.1373,0.0034,0
"2021-04-01T00:14:00Z","2021-04-01T00:15:00Z",1.0959,1.0024,1.1665,0.0023,60.0000,0.1377,0.0062,0
"2021-04-01T00:15:00Z","2021-04-01T00:16:00Z",1.2138,1.1714,1.2569,0.0002,60.0000,0.1373,0.0020,0
"2021-04-01T00:16:00Z","2021-04-01T00:17:00Z",1.1758,1.1140,1.2650,0.0029,60.0000,0.1379,0.0070,0
"2021-04-01T00:17:00Z","2021-04-01T00:18:00Z",1.1838,1.1347,1.2277,0.0009,60.0000,0.1374,0.0039,0
"2021-04-01T00:18:00Z","2021-04-01T00:19:00Z",1.1077,1.0731,1.1502,0.0005,60.0000,0.1373,0.0030,0
"2021-04-01T00:19:00Z","2021-04-01T00:20:00Z",1.0958,1.0642,1.1176,0.0003,60.0000,0.1372,0.0022,0
"2021-04-01T00:20:00Z","2021-04-01T00:21:00Z",1.1717,1.0866,1.2568,0.0026,60.0000,0.1378,0.0065,0
"2021-04-01T00:21:00Z","2021-04-01T00:22:00Z",1.2660,1.2247,1.3027,0.0007,60.0000,0.1374,0.0033,0
"2021-04-01T00:22:00Z","2021-04-01T00:23:00Z",1.1634,1.0944,1.2334,0.0011,60.0000,0.1375,0.0043,0
"2021-04-01T00:23:00Z","2021-04-01T00:24:00Z",0.9941,0.9056,1.0891,0.0030,60.0000,0.1379,0.0071,0
"2021-04-01T00:24:00Z","2021-04-01T00:25:00Z",0.8216,0.7438,0.9033,0.0023,60.0000,0.1376,0.0062,0
"2021-04-01T00:25:00Z","2021-04-01T00:26:00Z",0.6808,0.6485,0.7388,0.0006,60.0000,0.1371,0.0032,0
"2021-04-01T00:26:00Z","2021-04-01T00:27:00Z",0.7242,0.6297,0.8153,0.0043,60.0000,0.1380,0.0084,0
"2021-04-01T00:27:00Z","2021-04-01T00:28:00Z",0.7949,0.7681,0.8236,0.0002,60.0000,0.1371,0.0018,0
"2021-04-01T00:28:00Z","2021-04-01T00:29:00Z",0.6722,0.6051,0.7616,0.0022,60.0000,0.1375,0.0061,0
"2021-04-01T00:29:00Z","2021-04-01T00:30:00Z",0.5048,0.3951,0.6071,0.0050,60.0000,0.1381,0.0092,0
"2021-04-01T00:30:00Z","2021-04-01T00:31:00Z",0.3724,0.3568,0.3934,0.0001,60.0000,0.1369,0.0013,0
"2021-04-01T00:31:00Z","2021-04-01T00:32:00Z",0.5337,0.3779,0.6422,0.0088,60.0000,0.1391,0.0121,0
"2021-04-01T00:32:00Z","2021-04-01T00:33:00Z",0.6929,0.5559,0.8031,0.0069,60.0000,0.1387,0.0107,0
"2021-04-01T00:33:00Z","2021-04-01T00:34:00Z",0.7505,0.6812,0.8630,0.0019,60.0000,0.1375,0.0056,0
"2021-04-01T00:34:00Z","2021-04-01T00:35:00Z",0.7810,0.6401,0.8949,0.0058,60.0000,0.1385,0.0098,0
"2021-04-01T00:35:00Z","2021-04-01T00:36:00Z",0.4664,0.3496,0.6257,0.0058,60.0000,0.1383,0.0098,0
"2021-04-01T00:36:00Z","2021-04-01T00:37:00Z",0.3405,0.2722,0.4302,0.0022,60.0000,0.1374,0.0060,0
"2021-04-01T00:37:00Z","2021-04-01T00:38:00Z",0.5043,0.4264,0.5722,0.0031,60.0000,0.1377,0.0072,0
"2021-04-01T00:38:00Z","2021-04-01T00:39:00Z",0.5126,0.4612,0.5820,0.0016,60.0000,0.1373,0.0052,0
"2021-04-01T00:39:00Z","2021-04-01T00:40:00Z",0.4840,0.4616,0.5120,0.0002,60.0000,0.1369,0.0018,0
"2021-04-01T00:40:00Z","2021-04-01T00:41:00Z",0.5238,0.5108,0.5409,0.0001,60.0000,0.1369,0.0010,0
"2021-04-01T00:41:00Z","2021-04-01T00:42:00Z",0.4417,0.3582,0.5236,0.0029,60.0000,0.1376,0.0070,0
"2021-04-01T00:42:00Z","2021-04-01T00:43:00Z",0.2794,0.2146,0.3570,0.0019,60.0000,0.1373,0.0056,0
"2021-04-01T00:43:00Z","2021-04-01T00:44:00Z",0.2096,0.0968,0.3200,0.0067,60.0000,0.1384,0.0105,0
"2021-04-01T00:44:00Z","2021-04-01T00:45:00Z",-0.0115,-0.1112,0.1006,0.0054,60.0000,0.1380,0.0095,0
"2021-04-01T00:45:00Z","2021-04-01T00:46:00Z",-0.0835,-0.1783,-0.0399,0.0022,60.0000,0.1372,0.0060,0
"2021-04-01T00:46:00Z","2021-04-01T00:47:00Z",-0.1569,-0.1825,-0.1432,0.0001,37.0000,0.1367,0.0018,1
"2021-04-01T00:47:00Z","2021-04-01T00:48:00Z",,,,,,,,1
"2021-04-01T00:48:00Z","2021-04-01T00:49:00Z",-0.2932,-0.3431,-0.2161,0.0016,57.0000,0.1370,0.0053,0
"2021-04-01T00:49:00Z","2021-04-01T00:50:00Z",-0.3194,-0.3477,-0.2414,0.0009,60.0000,0.1368,0.0039,0
"2021-04-01T00:50:00Z","2021-04-01T00:51:00Z",-0.2473,-0.3093,-0.2051,0.0013,60.0000,0.1369,0.0047,0
"2021-04-01T00:51:00Z","2021-04-01T00:52:00Z",-0.2520,-0.3315,-0.2129,0.0009,60.0000,0.1368,0.0039,0
"2021-04-01T00:52:00Z","2021-04-01T00:53:00Z",-0.3796,-0.4557,-0.3399,0.0012,60.0000,0.1368,0.0044,0
"2021-04-01T00:53:00Z","2021-04-01T00:54:00Z",-0.2373,-0.4110,-0.1344,0.0069,60.0000,0.1383,0.0107,0
"2021-04-01T00:54:00Z","2021-04-01T00:55:00Z",-0.1641,-0.2355,-0.1097,0.0017,60.0000,0.1370,0.0054,0
"2021-04-01T00:55:00Z","2021-04-01T00:56:00Z",-0.2610,-0.3074,-0.2192,0.0007,60.0000,0.1367,0.0034,0
"2021-04-01T00:56:00Z","2021-04-01T00:57:00Z",-0.2815,-0.3346,-0.2526,0.0008,60.0000,0.1368,0.0036,0
"2021-04-01T00:57:00Z","2021-04-01T00:58:00Z",-0.1390,-0.3224,-0.0272,0.0107,60.0000,0.1393,0.0134,0
"2021-04-01T00:58:00Z","2021-04-01T00:59:00Z",-0.2383,-0.3954,-0.0747,0.0083,60.0000,0.1386,0.0118,0
"2021-04-01T00:59:00Z","2021-04-01T01:00:00Z",-0.4389,-0.5359,-0.3439,0.0039,60.0000,0.1375,0.0080,0
"2021-04-01T01:00:00Z","2021-04-01T01:01:00Z",-0.5366,-0.7818,-0.3416,0.0202,60.0000,0.1414,0.0184,0
"2021-04-01T01:01:00Z","2021-04-01T01:02:00Z",-0.8080,-1.0144,-0.7362,0.0058,60.0000,0.1378,0.0099,0
"2021-04-01T01:02:00Z","2021-04-01T01:03:00Z",-1.3859,-1.5608,-1.0315,0.0282,60.0000,0.1430,0.0217,0
"2021-04-01T01:03:00Z","2021-04-01T01:04:00Z",-1.6737,-1.8205,-1.5562,0.0063,60.0000,0.1375,0.0102,0
"2021-04-01T01:04:00Z","2021-04-01T01:05:00Z",-1.9368,-1.9964,-1.8300,0.0018,60.0000,0.1363,0.0054,0
"2021-04-01T01:05:00Z","2021-04-01T01:06:00Z",-1.9163,-1.9526,-1.8931,0.0003,60.0000,0.1359,0.0021,0
"2021-04-01T01:06:00Z","2021-04-01T01:07:00Z",-1.7718,-1.9047,-1.6111,0.0071,60.0000,0.1377,0.0109,0
"2021-04-01T01:07:00Z","2021-04-01T01:08:00Z",-1.2722,-1.5967,-1.1280,0.0220,60.0000,0.1415,0.0191,0
"2021-04-01T01:08:00Z","2021-04-01T01:09:00Z",-1.1579,-1.2103,-1.0502,0.0015,60.0000,0.1366,0.0050,0
"2021-04-01T01:09:00Z","2021-04-01T01:10:00Z",-1.0487,-1.0804,-1.0148,0.0002,60.0000,0.1363,0.0018,0
"2021-04-01T01:10:00Z","2021-04-01T01:11:00Z",-0.9737,-1.0716,-0.9179,0.0023,60.0000,0.1369,0.0062,0
"2021-04-01T01:11:00Z","2021-04-01T01:12:00Z",-1.0161,-1.1605,-0.9508,0.0037,60.0000,0.1372,0.0079,0
"2021-04-01T01:12:00Z","2021-04-01T01:13:00Z",-1.0807,-1.1536,-1.0106,0.0025,60.0000,0.1368,0.0064,0
"2021-04-01T01:13:00Z","2021-04-01T01:14:00Z",-1.0402,-1.1687,-0.8753,0.0081,60.0000,0.1383,0.0116,0
"2021-04-01T01:14:00Z","2021-04-01T01:15:00Z",-0.8360,-0.9242,-0.7940,0.0007,60.0000,0.1365,0.0035,0
"2021-04-01T01:15:00Z","2021-04-01T01:16:00Z",-0.8899,-0.9348,-0.8670,0.0004,60.0000,0.1364,0.0025,0
"2021-04-01T01:16:00Z","2021-04-01T01:17:00Z",-0.9689,-1.0405,-0.8787,0.0035,60.0000,0.1372,0.0077,0
"2021-04-01T01:17:00Z","2021-04-01T01:18:00Z",-1.1038,-1.1946,-1.0254,0.0033,60.0000,0.1370,0.0074,0
"2021-04-01T01:18:00Z","2021-04-01T01:19:00Z",-1.1706,-1.2687,-1.0861,0.0031,60.0000,0.1370,0.0071,0
"2021-04-01T01:19:00Z","2021-04-01T01:20:00Z",-1.1225,-1.2191,-1.0315,0.0045,60.0000,0.1373,0.0086,0
"2021-04-01T01:20:00Z","2021-04-01T01:21:00Z",-1.2552,-1.3511,-1.1792,0.0022,60.0000,0.1367,0.0061,0
"2021-04-01T01:21:00Z","2021-04-01T01:22:00Z",-1.4924,-1.7848,-1.3549,0.0143,60.0000,0.1396,0.0154,0
"2021-04-01T01:22:00Z","2021-04-01T01:23:00Z",-2.1228,-2.3446,-1.8011,0.0239,60.0000,0.1416,0.0200,0
"2021-04-01T01:23:00Z","2021-04-01T01:24:00Z",-2.6465,-2.8128,-2.3522,0.0238,60.0000,0.1414,0.0199,0
"2021-04-01T01:24:00Z","2021-04-01T01:25:00Z",-2.4987,-2.7597,-2.2453,0.0263,60.0000,0.1420,0.0209,0
"2021-04-01T01:25:00Z","2021-04-01T01:26:00Z",-2.0975,-2.2377,-2.0025,0.0043,60.0000,0.1369,0.0085,0
"2021-04-01T01:26:00Z","2021-04-01T01:27:00Z",-1.9158,-2.0010,-1.8547,0.0019,60.0000,0.1364,0.0057,0
"2021-04-01T01:27:00Z","2021-04-01T01:28:00Z",-1.7467,-1.8551,-1.6502,0.0037,60.0000,0.1369,0.0078,0
"2021-04-01T01:28:00Z","2021-04-01T01:29:00Z",-1.6066,-1.6468,-1.5575,0.0005,60.0000,0.1361,0.0030,0
"2021-04-01T01:29:00Z","2021-04-01T01:30:00Z",-1.5209,-1.5545,-1.4752,0.0005,60.0000,0.1362,0.0029,0
"2021-04-01T01:30:00Z","2021-04-01T01:31:00Z",-1.5468,-1.7289,-1.4623,0.0080,60.0000,0.1380,0.0115,0
"2021-04-01T01:31:00Z","2021-04-01T01:32:00Z",-1.8428,-1.9123,-1.7335,0.0030,60.0000,0.1367,0.0071,0
"2021-04-01T01:32:00Z","2021-04-01T01:33:00Z",-1.8434,-1.8936,-1.7948,0.0011,60.0000,0.1362,0.0042,0
"2021-04-01T01:33:00Z","2021-04-01T01:34:00Z",-1.7179,-1.7944,-1.6362,0.0021,60.0000,0.1365,0.0059,0
"2021-04-01T01:34:00Z","2021-04-01T01:35:00Z",-1.7936,-2.0002,-1.6746,0.0126,60.0000,0.1390,0.0145,0
"2021-04-01T01:35:00Z","2021-04-01T01:36:00Z",-1.8799,-1.9410,-1.8201,0.0010,60.0000,0.1362,0.0042,0
"2021-04-01T01:36:00Z","2021-04-01T01:37:00Z",-1.7947,-1.9121,-1.5385,0.0131,60.0000,0.1392,0.0148,0
"2021-04-01T01:37:00Z","2021-04-01T01:38:00Z",-1.4739,-1.5309,-1.4435,0.0007,60.0000,0.1362,0.0034,0
"2021-04-01T01:38:00Z","2021-04-01T01:39:00Z",-1.5260,-1.6317,-1.4219,0.0062,60.0000,0.1376,0.0102,0
"2021-04-01T01:39:00Z","2021-04-01T01:40:00Z",-1.8559,-2.1944,-1.6366,0.0319,60.0000,0.1436,0.0231,0
"2021-04-01T01:40:00Z","2021-04-01T01:41:00Z",-2.3435,-2.4178,-2.2050,0.0038,60.0000,0.1367,0.0079,0
"2021-04-01T01:41:00Z","2021-04-01T01:42:00Z",-2.4103,-2.4225,-2.3950,0.0000,60.0000,0.1357,0.0009,0
"2021-04-01T01:42:00Z","2021-04-01T01:43:00Z",-2.6017,-2.8057,-2.4247,0.0146,60.0000,0.1392,0.0156,0
"2021-04-01T01:43:00Z","2021-04-01T01:44:00Z",-2.8726,-2.9307,-2.8078,0.0020,60.0000,0.1360,0.0057,0
"2021-04-01T01:44:00Z","2021-04-01T01:45:00Z",-2.8707,-2.9956,-2.7931,0.0036,60.0000,0.1364,0.0078,0
"2021-04-01T01:45:00Z","2021-04-01T01:46:00Z",-3.0831,-3.1204,-3.0024,0.0013,60.0000,0.1357,0.0047,0
"2021-04-01T01:46:00Z","2021-04-01T01:47:00Z",-3.1252,-3.1662,-3.0999,0.0006,60.0000,0.1355,0.0031,0
"2021-04-01T01:47:00Z","2021-04-01T01:48:00Z",-3.1263,-3.1381,-3.0996,0.0001,60.0000,0.1354,0.0014,0
"2021-04-01T01:48:00Z","2021-04-01T01:49:00Z",-3.0375,-3.1158,-2.7289,0.0123,60.0000,0.1385,0.0143,0
"2021-04-01T01:49:00Z","2021-04-01T01:50:00Z",-2.2928,-2.7114,-1.8657,0.0644,60.0000,0.1508,0.0328,0
"2021-04-01T01:50:00Z","2021-04-01T01:51:00Z",-1.7187,-1.8535,-1.6316,0.0024,60.0000,0.1366,0.0063,0
"2021-04-01T01:51:00Z","2021-04-01T01:52:00Z",-1.4666,-1.6265,-1.1739,0.0265,60.0000,0.1425,0.0210,0
"2021-04-01T01:52:00Z","2021-04-01T01:53:00Z",-1.1680,-1.2069,-1.1492,0.0002,60.0000,0.1362,0.0020,0
"2021-04-01T01:53:00Z","2021-04-01T01:54:00Z",-1.1260,-1.1661,-1.0541,0.0016,60.0000,0.1366,0.0052,0
"2021-04-01T01:54:00Z","2021-04-01T01:55:00Z",-1.4610,-1.6031,-1.1779,0.0164,60.0000,0.1401,0.0165,0
"2021-04-01T01:55:00Z","2021-04-01T01:56:00Z",-1.0775,-1.4905,-0.7212,0.0555,60.0000,0.1493,0.0304,0
"2021-04-01T01:56:00Z","2021-04-01T01:57:00Z",-0.5548,-0.7102,-0.4731,0.0046,60.0000,0.1376,0.0088,0
"2021-04-01T01:57:00Z","2021-04-01T01:58:00Z",-0.5770,-0.6953,-0.4779,0.0061,60.0000,0.1380,0.0101,0
"2021-04-01T01:58:00Z","2021-04-01T01:59:00Z",-0.6513,-0.9304,-0.4593,0.0229,60.0000,0.1420,0.0195,0
"2021-04-01T01:59:00Z","2021-04-01T02:00:00Z",-1.3304,-1.9131,-0.9346,0.1173,60.0000,0.1624,0.0442,0
"2021-04-01T02:00:00Z","2021-04-01T02:01:00Z",-2.0999,-2.2312,-1.9256,0.0097,60.0000,0.1382,0.0127,0
"2021-04-01T02:01:00Z","2021-04-01T02:02:00Z",-2.2955,-2.4189,-2.2137,0.0031,60.0000,0.1365,0.0072,0
"2021-04-01T02:02:00Z","2021-04-01T02:03:00Z",-2.4507,-2.4873,-2.4094,0.0005,60.0000,0.1358,0.0030,0
"2021-04-01T02:03:00Z","2021-04-01T02:04:00Z",-2.5219,-2.5739,-2.4624,0.0009,60.0000,0.1359,0.0039,0
"2021-04-01T02:04:00Z","2021-04-01T02:05:00Z",-2.5056,-2.5676,-2.4571,0.0010,60.0000,0.1359,0.0041,0
"2021-04-01T02:05:00Z","2021-04-01T02:06:00Z",-2.4833,-2.5561,-2.3982,0.0016,60.0000,0.1360,0.0051,0
"2021-04-01T02:06:00Z","2021-04-01T02:07:00Z",-2.2542,-2.3895,-2.1934,0.0036,60.0000,0.1366,0.0078,0
"2021-04-01T02:07:00Z","2021-04-01T02:08:00Z",-2.5256,-2.6246,-2.3714,0.0074,60.0000,0.1375,0.0111,0
"2021-04-01T02:08:00Z","2021-04-01T02:09:00Z",-2.5934,-2.6537,-2.5008,0.0018,60.0000,0.1361,0.0055,0
"2021-04-01T02:09:00Z","2021-04-01T02:10:00Z",-2.7192,-2.8453,-2.5123,0.0092,60.0000,0.1378,0.0124,0
"2021-04-01T02:10:00Z","2021-04-01T02:11:00Z",-2.3957,-2.6317,-2.2481,0.0149,60.0000,0.1393,0.0158,0
"2021-04-01T02:11:00Z","2021-04-01T02:12:00Z",-2.2095,-2.3612,-2.0943,0.0063,60.0000,0.1373,0.0103,0
"2021-04-01T02:12:00Z","2021-04-01T02:13:00Z",-1.8055,-2.0878,-1.4998,0.0318,60.0000,0.1436,0.0230,0
"2021-04-01T02:13:00Z","2021-04-01T02:14:00Z",-1.5108,-1.6827,-1.4192,0.0057,60.0000,0.1375,0.0097,0
"2021-04-01T02:14:00Z","2021-04-01T02:15:00Z",-2.2302,-2.6907,-1.6930,0.0990,60.0000,0.1584,0.0406,0
"2021-04-01T02:15:00Z","2021-04-01T02:16:00Z",-2.6333,-2.6964,-2.4977,0.0053,60.0000,0.1369,0.0094,0
"2021-04-01T02:16:00Z","2021-04-01T02:17:00Z",-2.5786,-2.7202,-2.4578,0.0097,60.0000,0.1380,0.0127,0
"2021-04-01T02:17:00Z","2021-04-01T02:18:00Z",-2.6256,-2.7113,-2.5517,0.0029,60.0000,0.1363,0.0069,0
"2021-04-01T02:18:00Z","2021-04-01T02:19:00Z",-2.5812,-2.6189,-2.5399,0.0007,60.0000,0.1358,0.0033,0
"2021-04-01T02:19:00Z","2021-04-01T02:20:00Z",-2.6255,-2.6901,-2.5695,0.0014,60.0000,0.1359,0.0049,0
"2021-04-01T02:20:00Z","2021-04-01T02:21:00Z",-2.7203,-2.8549,-2.5965,0.0078,60.0000,0.1375,0.0114,0
"2021-04-01T02:21:00Z","2021-04-01T02:22:00Z",-2.9459,-3.0598,-2.8568,0.0040,60.0000,0.1364,0.0081,0
"2021-04-01T02:22:00Z","2021-04-01T02:23:00Z",-2.7969,-3.0642,-2.4338,0.0395,60.0000,0.1450,0.0257,0
"2021-04-01T02:23:00Z","2021-04-01T02:24:00Z",-2.1751,-2.4152,-2.0141,0.0129,60.0000,0.1389,0.0146,0
"2021-04-01T02:24:00Z","2021-04-01T02:25:00Z",-2.4875,-2.7006,-2.3080,0.0171,60.0000,0.1398,0.0169,0
"2021-04-01T02:25:00Z","2021-04-01T02:26:00Z",-2.5143,-2.7284,-2.2591,0.0318,60.0000,0.1433,0.0230,0
"2021-04-01T02:26:00Z","2021-04-01T02:27:00Z",-2.2420,-2.3462,-2.1463,0.0058,60.0000,0.1372,0.0098,0
"2021-04-01T02:27:00Z","2021-04-01T02:28:00Z",-2.1319,-2.2022,-2.0646,0.0026,60.0000,0.1364,0.0066,0
"2021-04-01T02:28:00Z","2021-04-01T02:29:00Z",-2.0784,-2.2770,-1.9658,0.0079,60.0000,0.1378,0.0115,0
"2021-04-01T02:29:00Z","2021-04-01T02:30:00Z",-2.5594,-2.8077,-2.2888,0.0216,60.0000,0.1409,0.0190,0
"2021-04-01T02:30:00Z","2021-04-01T02:31:00Z",-2.8783,-2.9859,-2.7967,0.0045,60.0000,0.1366,0.0086,0
"2021-04-01T02:31:00Z","2021-04-01T02:32:00Z",-2.9502,-3.0015,-2.9059,0.0008,60.0000,0.1356,0.0036,0
"2021-04-01T02:32:00Z","2021-04-01T02:33:00Z",-3.0878,-3.1269,-3.0005,0.0008,60.0000,0.1356,0.0036,0
"2021-04-01T02:33:00Z","2021-04-01T02:34:00Z",-3.1191,-3.2148,-3.0569,0.0032,60.0000,0.1362,0.0073,0
"2021-04-01T02:34:00Z","2021-04-01T02:35:00Z",-2.9765,-3.0803,-2.8864,0.0047,60.0000,0.1366,0.0089,0
"2021-04-01T02:35:00Z","2021-04-01T02:36:00Z",-2.8607,-3.0708,-2.7230,0.0139,60.0000,0.1389,0.0152,0
"2021-04-01T02:36:00Z","2021-04-01T02:37:00Z",-2.5431,-2.8106,-2.4721,0.0071,60.0000,0.1374,0.0109,0
"2021-04-01T02:37:00Z","2021-04-01T02:38:00Z",-2.1407,-2.5321,-1.4731,0.1377,60.0000,0.1664,0.0479,0
"2021-04-01T02:38:00Z","2021-04-01T02:39:00Z",-1.1431,-1.4553,-0.9747,0.0178,60.0000,0.1405,0.0172,0
"2021-04-01T02:39:00Z","2021-04-01T02:40:00Z",-0.9492,-1.0138,-0.8791,0.0015,60.0000,0.1367,0.0050,0
"2021-04-01T02:40:00Z","2021-04-01T02:41:00Z",-1.4379,-2.2506,-0.9175,0.1791,60.0000,0.1747,0.0546,0
"2021-04-01T02:41:00Z","2021-04-01T02:42:00Z",-2.8616,-3.2814,-2.2764,0.0916,60.0000,0.1566,0.0391,0
"2021-04-01T02:42:00Z","2021-04-01T02:43:00Z",-3.4636,-3.5765,-3.2940,0.0061,60.0000,0.1368,0.0101,0
"2021-04-01T02:43:00Z","2021-04-01T02:44:00Z",-3.6416,-3.6759,-3.5572,0.0010,60.0000,0.1354,0.0041,0
"2021-04-01T02:44:00Z","2021-04-01T02:45:00Z",-3.5127,-3.5666,-3.4566,0.0009,60.0000,0.1354,0.0038,0
"2021-04-01T02:45:00Z","2021-04-01T02:46:00Z",-3.3560,-3.4505,-3.2725,0.0029,60.0000,0.1360,0.0069,0
"2021-04-01T02:46:00Z","2021-04-01T02:47:00Z",-3.2838,-3.3258,-3.2517,0.0007,60.0000,0.1355,0.0034,0
"2021-04-01T02:47:00Z","2021-04-01T02:48:00Z",-3.2988,-3.3547,-3.1836,0.0027,60.0000,0.1360,0.0067,0
"2021-04-01T02:48:00Z","2021-04-01T02:49:00Z",-3.0654,-3.1809,-2.9414,0.0063,60.0000,0.1370,0.0103,0
"2021-04-01T02:49:00Z","2021-04-01T02:50:00Z",-3.0773,-3.2113,-2.9343,0.0081,60.0000,0.1374,0.0116,0
"2021-04-01T02:50:00Z","2021-04-01T02:51:00Z",-3.3123,-3.4108,-3.2129,0.0029,60.0000,0.1360,0.0070,0
"2021-04-01T02:51:00Z","2021-04-01T02:52:00Z",-3.3674,-3.4467,-3.2808,0.0037,60.0000,0.1362,0.0079,0
"2021-04-01T02:52:00Z","2021-04-01T02:53:00Z",-3.4066,-3.4631,-3.3252,0.0014,60.0000,0.1356,0.0048,0
"2021-04-01T02:53:00Z","2021-04-01T02:54:00Z",-3.3555,-3.4438,-3.2678,0.0038,60.0000,0.1362,0.0080,0
"2021-04-01T02:54:00Z","2021-04-01T02:55:00Z",-3.2186,-3.2594,-3.2022,0.0001,60.0000,0.1353,0.0014,0
"2021-04-01T02:55:00Z","2021-04-01T02:56:00Z",-3.1957,-3.2284,-3.1655,0.0006,60.0000,0.1355,0.0030,0
"2021-04-01T02:56:00Z","2021-04-01T02:57:00Z",-3.3144,-3.4538,-3.1779,0.0083,60.0000,0.1373,0.0117,0
"2021-04-01T02:57:00Z","2021-04-01T02:58:00Z",-3.5619,-3.6940,-3.4565,0.0043,60.0000,0.1363,0.0084,0
"2021-04-01T02:58:00Z","2021-04-01T02:59:00Z",-3.8613,-3.9987,-3.7005,0.0086,60.0000,0.1372,0.0120,0
"2021-04-01T02:59:00Z","2021-04-01T03:00:00Z",-4.0348,-4.0734,-4.0003,0.0005,60.0000,0.1351,0.0028,0
"2021-04-01T03:00:00Z","2021-04-01T03:01:00Z",-4.0262,-4.0753,-3.9322,0.0024,60.0000,0.1356,0.0063,0
"2021-04-01T03:01:00Z","2021-04-01T03:02:00Z",-3.8339,-3.9303,-3.7801,0.0019,60.0000,0.1356,0.0057,0
"2021-04-01T03:02:00Z","2021-04-01T03:03:00Z",-3.7535,-3.7806,-3.7131,0.0007,60.0000,0.1353,0.0033,0
"2021-04-01T03:03:00Z","2021-04-01T03:04:00Z",-3.6244,-3.7248,-3.5030,0.0067,60.0000,0.1368,0.0106,0
"2021-04-01T03:04:00Z","2021-04-01T03:05:00Z",-3.6328,-3.6902,-3.5309,0.0015,60.0000,0.1355,0.0050,0
"2021-04-01T03:05:00Z","2021-04-01T03:06:00Z",-3.4427,-3.6005,-3.3288,0.0066,60.0000,0.1369,0.0105,0
"2021-04-01T03:06:00Z","2021-04-01T03:07:00Z",-3.4357,-3.6586,-3.2955,0.0164,60.0000,0.1393,0.0165,0
"2021-04-01T03:07:00Z","2021-04-01T03:08:00Z",-3.6322,-3.6635,-3.5951,0.0002,60.0000,0.1352,0.0019,0
"2021-04-01T03:08:00Z","2021-04-01T03:09:00Z",-3.7160,-3.8711,-3.5881,0.0098,60.0000,0.1376,0.0128,0
"2021-04-01T03:09:00Z","2021-04-01T03:10:00Z",-3.9698,-4.0419,-3.8475,0.0034,60.0000,0.1359,0.0076,0
"2021-04-01T03:10:00Z","2021-04-01T03:11:00Z",-3.7437,-3.8346,-3.6881,0.0011,60.0000,0.1354,0.0043,0
"2021-04-01T03:11:00Z","2021-04-01T03:12:00Z",-3.5963,-3.6824,-3.5628,0.0009,60.0000,0.1354,0.0038,0
"2021-04-01T03:12:00Z","2021-04-01T03:13:00Z",-3.6112,-3.6730,-3.5446,0.0024,60.0000,0.1358,0.0064,0
"2021-04-01T03:13:00Z","2021-04-01T03:14:00Z",-3.7752,-3.8753,-3.6686,0.0037,60.0000,0.1360,0.0078,0
"2021-04-01T03:14:00Z","2021-04-01T03:15:00Z",-3.9265,-4.0251,-3.8707,0.0026,60.0000,0.1357,0.0066,0
"2021-04-01T03:15:00Z","2021-04-01T03:16:00Z",-4.0190,-4.0513,-3.9925,0.0004,60.0000,0.1351,0.0024,0
"2021-04-01T03:16:00Z","2021-04-01T03:17:00Z",-4.1320,-4.2227,-4.0128,0.0050,60.0000,0.1362,0.0091,0
"2021-04-01T03:17:00Z","2021-04-01T03:18:00Z",-4.4845,-4.7828,-4.2222,0.0339,60.0000,0.1430,0.0238,0
