startDateTime,endDateTime,SHFMean,SHFMinimum,SHFMaximum,SHFVariance,SHFNumPts,SHFExpUncert,SHFStdErMean,SHFCalHeaterFlag,SHFCalHeaterQF,SHFCalPeriodFlag,SHFInSituCorFactor,SHFInSituCorQF,rangeFailQM,rangePassQM,rangeNAQM,persistenceFailQM,persistencePassQM,persistenceNAQM,stepFailQM,stepPassQM,stepNAQM,nullFailQM,nullPassQM,nullNAQM,gapFailQM,gapPassQM,gapNAQM,spikeFailQM,spikePassQM,spikeNAQM,SHFCalHeaterOnMetric,SHFCalHeaterOffMetric,SHFCalHeaterFailQM,SHFCalHeaterPassQM,SHFCalHeaterNAQM,SHFCalPeriodOnMetric,SHFCalPeriodOffMetric,SHFInSituCorFailQM,SHFInSituCorPassQM,SHFInSituCorNAQM,alphaQM,betaQM,finalQF,finalQFSciRvw
2016-08-27T00:00:00Z,2016-08-27T00:01:00Z,,,,,,,,-1,-1,-1,,-1,0,0,100,0,0,100,0,0,100,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,100,0,1,
2016-08-27T00:01:00Z,2016-08-27T00:02:00Z,,,,,,,,-1,-1,-1,,-1,0,0,100,0,0,100,0,0,100,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,100,0,1,
2016-08-27T00:02:00Z,2016-08-27T00:03:00Z,,,,,,,,-1,-1,-1,,-1,0,0,100,0,0,100,0,0,100,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,100,0,1,
2016-08-27T00:03:00Z,2016-08-27T00:04:00Z,,,,,,,,-1,-1,-1,,-1,0,0,100,0,0,100,0,0,100,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,100,0,1,
2016-08-27T00:04:00Z,2016-08-27T00:05:00Z,,,,,,,,-1,-1,-1,,-1,0,0,100,0,0,100,0,0,100,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,100,0,1,
2016-08-27T00:05:00Z,2016-08-27T00:06:00Z,,,,,,,,-1,-1,-1,,-1,0,0,100,0,0,100,0,0,100,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,100,0,1,
2016-08-27T00:06:00Z,2016-08-27T00:07:00Z,,,,,,,,-1,-1,-1,,-1,0,0,100,0,0,100,0,0,100,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,100,0,1,
2016-08-27T00:07:00Z,2016-08-27T00:08:00Z,,,,,,,,-1,-1,-1,,-1,0,0,100,0,0,100,0,0,100,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,100,0,1,
2016-08-27T00:08:00Z,2016-08-27T00:09:00Z,,,,,,,,-1,-1,-1,,-1,0,0,100,0,0,100,0,0,100,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,100,0,1,
2016-08-27T00:09:00Z,2016-08-27T00:10:00Z,,,,,,,,-1,-1,-1,,-1,0,0,100,0,0,100,0,0,100,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,100,0,1,
2016-08-27T00:10:00Z,2016-08-27T00:11:00Z,,,,,,,,-1,-1,-1,,-1,0,0,100,0,0,100,0,0,100,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,100,0,1,
2016-08-27T00:11:00Z,2016-08-27T00:12:00Z,,,,,,,,-1,-1,-1,,-1,0,0,100,0,0,100,0,0,100,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,100,0,1,
2016-08-27T00:12:00Z,2016-08-27T00:13:00Z,,,,,,,,-1,-1,-1,,-1,0,0,100,0,0,100,0,0,100,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,100,0,1,
2016-08-27T00:13:00Z,2016-08-27T00:14:00Z,,,,,,,,-1,-1,-1,,-1,0,0,100,0,0,100,0,0,100,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,100,0,1,
2016-08-27T00:14:00Z,2016-08-27T00:15:00Z,,,,,,,,-1,-1,-1,,-1,0,0,100,0,0,100,0,0,100,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,100,0,1,
2016-08-27T00:15:00Z,2016-08-27T00:16:00Z,,,,,,,,-1,-1,-1,,-1,0,0,100,0,0,100,0,0,100,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,100,0,1,
2016-08-27T00:16:00Z,2016-08-27T00:17:00Z,,,,,,,,-1,-1,-1,,-1,0,0,100,0,0,100,0,0,100,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,100,0,1,
2016-08-27T00:17:00Z,2016-08-27T00:18:00Z,,,,,,,,-1,-1,-1,,-1,0,0,100,0,0,100,0,0,100,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,100,0,1,
2016-08-27T00:18:00Z,2016-08-27T00:19:00Z,,,,,,,,-1,-1,-1,,-1,0,0,100,0,0,100,0,0,100,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,100,0,1,
2016-08-27T00:19:00Z,2016-08-27T00:20:00Z,,,,,,,,-1,-1,-1,,-1,0,0,100,0,0,100,0,0,100,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,100,0,1,
2016-08-27T00:20:00Z,2016-08-27T00:21:00Z,,,,,,,,-1,-1,-1,,-1,0,0,100,0,0,100,0,0,100,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,100,0,1,
2016-08-27T00:21:00Z,2016-08-27T00:22:00Z,,,,,,,,-1,-1,-1,,-1,0,0,100,0,0,100,0,0,100,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,100,0,1,
2016-08-27T00:22:00Z,2016-08-27T00:23:00Z,,,,,,,,-1,-1,-1,,-1,0,0,100,0,0,100,0,0,100,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,100,0,1,
2016-08-27T00:23:00Z,2016-08-27T00:24:00Z,,,,,,,,-1,-1,-1,,-1,0,0,100,0,0,100,0,0,100,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,100,0,1,
2016-08-27T00:24:00Z,2016-08-27T00:25:00Z,,,,,,,,-1,-1,-1,,-1,0,0,100,0,0,100,0,0,100,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,100,0,1,
